Latitude,Longitude,Temperature
36.03333333333333,31.366666666666934,18.5
36.03333333333333,31.40000000000027,18.5
36.03333333333333,31.46666666666694,18.5
36.03333333333333,31.500000000000274,18.5
36.03333333333333,31.53333333333361,18.5
36.03333333333333,31.566666666666944,18.5
36.03333333333333,31.60000000000028,18.5
36.03333333333333,31.633333333333614,18.5
36.03333333333333,31.66666666666695,18.5
36.03333333333333,31.700000000000284,18.5
36.03333333333333,31.73333333333362,18.5
36.03333333333333,31.900000000000293,18.5
36.03333333333333,31.93333333333363,18.5
36.03333333333333,34.06666666666707,18.5
36.03333333333333,34.100000000000406,23.5
36.03333333333333,34.13333333333374,23.5
36.03333333333333,34.16666666666707,23.5
36.03333333333333,34.20000000000041,23.5
36.03333333333333,34.233333333333746,23.5
36.03333333333333,34.26666666666708,23.5
36.06666666666666,31.300000000000264,18.5
36.06666666666666,31.3333333333336,18.5
36.06666666666666,31.366666666666934,18.5
36.06666666666666,31.40000000000027,18.5
36.06666666666666,31.46666666666694,18.5
36.06666666666666,31.500000000000274,18.5
36.06666666666666,31.53333333333361,18.5
36.06666666666666,31.566666666666944,18.5
36.06666666666666,31.60000000000028,18.5
36.06666666666666,31.633333333333614,18.5
36.06666666666666,31.66666666666695,18.5
36.06666666666666,31.700000000000284,18.5
36.06666666666666,31.73333333333362,18.5
36.06666666666666,31.766666666666953,18.5
36.06666666666666,31.80000000000029,18.5
36.06666666666666,31.833333333333623,18.5
36.06666666666666,31.86666666666696,18.5
36.06666666666666,31.900000000000293,18.5
36.06666666666666,31.93333333333363,18.5
36.06666666666666,31.966666666666963,18.5
36.06666666666666,32.0000000000003,18.5
36.06666666666666,32.03333333333363,18.5
36.06666666666666,32.06666666666697,18.5
36.06666666666666,32.10000000000031,18.5
36.06666666666666,32.30000000000031,28.5
36.06666666666666,34.03333333333373,23.5
36.06666666666666,34.06666666666707,23.5
36.06666666666666,34.100000000000406,23.5
36.06666666666666,34.13333333333374,23.5
36.06666666666666,34.16666666666707,23.5
36.06666666666666,34.20000000000041,23.5
36.06666666666666,34.233333333333746,23.5
36.06666666666666,34.26666666666708,23.5
36.099999999999994,29.300000000000164,28.5
36.099999999999994,31.233333333333594,28.5
36.099999999999994,31.300000000000264,18.5
36.099999999999994,31.3333333333336,18.5
36.099999999999994,31.366666666666934,18.5
36.099999999999994,31.40000000000027,18.5
36.099999999999994,31.46666666666694,18.5
36.099999999999994,31.500000000000274,18.5
36.099999999999994,31.53333333333361,18.5
36.099999999999994,31.566666666666944,18.5
36.099999999999994,31.60000000000028,18.5
36.099999999999994,31.633333333333614,18.5
36.099999999999994,31.66666666666695,18.5
36.099999999999994,31.700000000000284,18.5
36.099999999999994,31.73333333333362,18.5
36.099999999999994,31.766666666666953,18.5
36.099999999999994,31.80000000000029,18.5
36.099999999999994,31.833333333333623,18.5
36.099999999999994,31.86666666666696,18.5
36.099999999999994,31.900000000000293,18.5
36.099999999999994,31.93333333333363,18.5
36.099999999999994,31.966666666666963,18.5
36.099999999999994,32.0000000000003,18.5
36.099999999999994,32.03333333333363,18.5
36.099999999999994,32.06666666666697,18.5
36.099999999999994,32.10000000000031,18.5
36.099999999999994,32.13333333333364,18.5
